"no-underline href","mb-2 src","p-0","p-0 3","m-0","text-xs","text-xs 2","m-0 2"
"https://www.visaovip.com/es/prod/notebook/notebook-lenovo-ideapad-5-2-en-1-16ahp9-amd-ryzen-7-8845hs-pantalla-touch-wuxga-16-0-16gb-de-ram-1tb-ssd-win11home-luna-gris-83ds0056us-ingles/55944/","https://cdn.visaovip.com/img/prod/notebook-lenovo-ideapad-5-2-en-1-16ahp9-amd-ryzen-7-8845hs-pantalla-touch-wuxga-160-16gb-de-ram-1tb-ssd-win11home-luna-gris-83ds0056us-ingles/55944/726070.jpg","Notebook Lenovo IdeaPad 5 2-en-1 16AHP9 AMD Ryzen 7 8845HS Pantalla Touch WUXGA 16.0"" / 16GB de RAM / 1TB SSD / Win11Home - Luna Gris (83DS0056US) (Inglés)","LENOVO","U$ 779,00","G$ 5.569.850","R$ 4.066,38","55944"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-gigabyte-a16-3vhk3us894sh-amd-ryzen-7-260-pantalla-full-hd-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-negro-ingles/59971/","https://www.visaovip.com/sem-imagem.png","Notebook Gamer Gigabyte A16 3VHK3US894SH AMD Ryzen 7 260 Pantalla Full HD+ 16.0"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5060 8GB - Negro (Inglés)","GIGABYTE","U$ 1.150,00","G$ 8.222.500","R$ 6.003,00","59971"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-gigabyte-aero-x16-2wha3usc64ah-amd-ryzen-ai-9-hx-370-pantalla-qhd-16-32gb-de-ram-1tb-ssd-win11home-geforce-rtx5070-8gb-gris-ingles/59970/","https://www.visaovip.com/sem-imagem.png","Notebook Gamer Gigabyte Aero X16 2WHA3USC64AH AMD Ryzen AI 9 HX 370 Pantalla QHD+ 16"" / 32GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070 8GB - Gris (Inglés)","GIGABYTE","U$ 1.545,00","G$ 11.046.750","R$ 8.064,90","59970"
"https://www.visaovip.com/es/prod/notebook/notebook-hp-omnibook-5-ai-16-ag1070wm-amd-ryzen-ai-7-350-pantalla-2k-16-0-16gb-de-ram-512gb-ssd-win11-plata-ingles/55426/","https://cdn.visaovip.com/img/prod/notebook-hp-omnibook-5-ai-16-ag1070wm-amd-ryzen-ai-7-350-pantalla-2k-160-16gb-de-ram-512gb-ssd-win11-plata-ingles/55426/739742.jpg","Notebook HP Omnibook 5 AI 16-AG1070WM AMD Ryzen AI 7 350 Pantalla 2K 16.0"" / 16GB de RAM / 512GB SSD / Win11 - Plata (Inglés)","HP","U$ 699,00","G$ 4.997.850","R$ 3.648,78","55426"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-msi-vector-a16-hx-a8whg-004us-amd-ryzen-9-8940hx-pantalla-qhd-16-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070ti-12gb-cosmos-gris-9s7-15mm72-040-ingles/56258/","https://cdn.visaovip.com/img/prod/notebook-gamer-msi-vector-a16-hx-a8whg-004us-amd-ryzen-9-8940hx-pantalla-qhd-16-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5070ti-12gb-cosmos-gris-9s7-15mm72-040-ingles/56258/727007.jpg","Notebook Gamer MSI Vector A16 HX A8WHG-004US AMD Ryzen 9 8940HX Pantalla QHD+ 16"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070TI 12GB - Cosmos Gris (9S7-15MM72-040) (Inglés)","MSI","U$ 1.789,00","G$ 12.791.350","R$ 9.338,58","56258"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-hp-omen-16-16-am0073dx-intel-core-ultra-7-255h-pantalla-2k-16-0-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-negro-ingles/55621/","https://cdn.visaovip.com/img/prod/notebook-gamer-hp-omen-16-16-am0073dx-intel-core-ultra-7-255h-pantalla-2k-160-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-negro-ingles/55621/724484.jpg","Notebook Gamer HP OMEN 16 16-AM0073DX Intel Core Ultra 7 255H Pantalla 2K 16.0"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5060 8GB - Negro (Inglés)","HP","U$ 1.329,00","G$ 9.502.350","R$ 6.937,38","55621"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-asus-tuf-a16-fa607nuq-ws73-amd-ryzen-7-170-pantalla-wuxga-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4050-6gb-mecha-gris-ingles/59384/","https://cdn.visaovip.com/img/prod/notebook-gamer-asus-tuf-a16-fa607nuq-ws73-amd-ryzen-7-170-pantalla-wuxga-160-16gb-de-ram-512gb-ssd-win11home-geforce-rtx4050-6gb-mecha-gris-ingles/59384/740256.jpg","Notebook Gamer ASUS TUF A16 FA607NUQ-WS73 AMD Ryzen 7 170 Pantalla WUXGA 16.0"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX4050 6GB - Mecha Gris (Inglés)","ASUS","U$ 965,00","G$ 6.899.750","R$ 5.037,30","59384"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-asus-tuf-a16-fa608uh-rv017w-amd-ryzen-7-260-pantalla-wuxga-16-0-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-jaeger-gris-espanol/59441/","https://cdn.visaovip.com/img/prod/notebook-gamer-asus-tuf-a16-fa608uh-rv017w-amd-ryzen-7-260-pantalla-wuxga-160-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5050-8gb-jaeger-gris-espanol/59441/740512.jpg","Notebook Gamer ASUS TUF A16 FA608UH-RV017W AMD Ryzen 7 260 Pantalla WUXGA 16.0"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX5050 8GB - Jaeger Gris (Español)","ASUS","U$ 1.135,00","G$ 8.115.250","R$ 5.924,70","59441"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-msi-cyborg-15-b2rwfkg-071us-intel-core-7-240h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5060-8gb-translucent-negro-ingles/55436/","https://cdn.visaovip.com/img/prod/notebook-gamer-msi-cyborg-15-b2rwfkg-071us-intel-core-7-240h-pantalla-full-hd-156-16gb-de-ram-512gb-ssd-win11home-geforce-rtx5060-8gb-translucent-negro-ingles/55436/723653.jpg","Notebook Gamer MSI Cyborg 15 B2RWFKG-071US Intel Core 7 240H Pantalla Full HD 15.6"" / 16GB de RAM / 512GB SSD / Win11Home / GeForce RTX5060 8GB - Translucent Negro (Inglés)","MSI","U$ 1.175,00","G$ 8.401.250","R$ 6.133,50","55436"
"https://www.visaovip.com/es/prod/notebook/notebook-gamer-acer-predator-helios-neo-16s-ai-phn16s-71-98rf-intel-core-ultra-9-275hx-pantalla-oled-16-32gb-de-ram-1tb-ssd-win11home-geforce-rtx5070ti-12gb-obsidian-negro-ingles/53734/","https://cdn.visaovip.com/img/prod/notebook-gamer-acer-predator-helios-neo-16s-ai-phn16s-71-98rf-intel-core-ultra-9-275hx-pantalla-oled-16-32gb-de-ram-1tb-ssd-win11home-geforce-rtx5070ti-12gb-obsidian-negro-ingles/53734/716315.jpg","Notebook Gamer Acer Predator Helios Neo 16S AI PHN16S-71-98RF Intel Core Ultra 9 275HX Pantalla OLED 16"" / 32GB de RAM / 1TB SSD / Win11Home / GeForce RTX5070TI 12GB - Obsidian Negro (Inglés)","ACER","U$ 2.085,00","G$ 14.907.750","R$ 10.883,70","53734"
