"link-dtw-prod href","img-dtw-prod src","card-dtw-subtitulo","card-dtw-preco-dolar","card-dtw-codigo-lista","card-dtw-preco-real","card-dtw-preco-guarani"
"https://www.visaovip.com/produto/notebook/notebook-hp-omnibook-x-flip-ai-14-fk0033dx-amd-ryzen-ai-7-350-pantalla-touch-2k-14-0-24gb-de-ram-1tb-ssd-win11home-gris-ingles/54460","https://www.visaovip.com/imagem/notebook/notebook-hp-omnibook-x-flip-ai-14-fk0033dx-amd-ryzen-ai-7-350-pantalla-touch-2k-14-0-24gb-de-ram-1tb-ssd-win11home-gris-ingles/1/54460?pfdrid_c=true","Notebook HP Omnibook X Flip AI 14-FK0033DX AMD Ryzen AI 7 350 Pantalla Touch 2K 14.0"" / 24GB de RAM / 1TB SSD / Win11Home - Gris (Inglés)","U$ 865,00","Cód.: 54460","R$ 4.835,35","G$ 6.314.500"
"https://www.visaovip.com/produto/notebook/notebook-hp-omnibook-x-flip-ai-14-fm0023dx-intel-core-ultra-7-256v-pantalla-touch-2k-14-0-16gb-de-ram-1tb-ssd-win11home-azul-ingles/54459","https://www.visaovip.com/imagem/notebook/notebook-hp-omnibook-x-flip-ai-14-fm0023dx-intel-core-ultra-7-256v-pantalla-touch-2k-14-0-16gb-de-ram-1tb-ssd-win11home-azul-ingles/1/54459?pfdrid_c=true","Notebook HP Omnibook X Flip AI 14-FM0023DX Intel Core Ultra 7 256V Pantalla Touch 2K 14.0"" / 16GB de RAM / 1TB SSD / Win11Home - Azul (Inglés)","U$ 852,00","Cód.: 54459","R$ 4.762,68","G$ 6.219.600"
"https://www.visaovip.com/produto/notebook/notebook-hp-14-dq6013dx-intel-celeron-n150-pantalla-hd-14-0-4gb-de-ram-128gb-ufs-win11home-verde-ingles/54458","https://www.visaovip.com/imagem/notebook/notebook-hp-14-dq6013dx-intel-celeron-n150-pantalla-hd-14-0-4gb-de-ram-128gb-ufs-win11home-verde-ingles/1/54458?pfdrid_c=true","Notebook HP 14-DQ6013DX Intel Celeron N150 Pantalla HD 14.0"" / 4GB de RAM / 128GB UFS / Win11Home - Verde (Inglés)","","Cód.: 54458","R$ 1.033,59","G$ 1.349.770"
"https://www.visaovip.com/produto/notebook/notebook-acer-aspire-go-15-ag15-71p-794k-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-pure-plata-ingles/54457","https://www.visaovip.com/imagem/notebook/notebook-acer-aspire-go-15-ag15-71p-794k-intel-core-i7-13620h-pantalla-full-hd-15-6-16gb-de-ram-512gb-ssd-win11home-pure-plata-ingles/1/54457?pfdrid_c=true","Notebook Acer Aspire Go 15 AG15-71P-794K Intel Core i7 13620H Pantalla Full HD 15.6"" / 16GB de RAM / 512GB SSD / Win11Home - Pure Plata (Inglés)","U$ 648,00","Cód.: 54457","R$ 3.622,32","G$ 4.730.400"
"https://www.visaovip.com/produto/notebook/notebook-acer-aspire-go-15-ag15-42p-r1r7-amd-ryzen-7-5825u-pantalla-full-hd-15-6-32gb-de-ram-1tb-ssd-win11home-pure-plata-ingles/54456","https://www.visaovip.com/imagem/notebook/notebook-acer-aspire-go-15-ag15-42p-r1r7-amd-ryzen-7-5825u-pantalla-full-hd-15-6-32gb-de-ram-1tb-ssd-win11home-pure-plata-ingles/1/54456?pfdrid_c=true","Notebook Acer Aspire Go 15 AG15-42P-R1R7 AMD Ryzen 7 5825U Pantalla Full HD 15.6"" / 32GB de RAM / 1TB SSD / Win11Home - Pure Plata (Inglés)","U$ 719,00","Cód.: 54456","R$ 4.019,21","G$ 5.248.700"
"https://www.visaovip.com/produto/notebook/notebook-lenovo-ideapad-slim-5-16iru9-intel-core-7-150u-pantalla-wuxga-16-0-8gb-de-ram-512gb-ssd-win11home-cloud-gris-83fw000xus-ingles/54428","https://www.visaovip.com/imagem/notebook/notebook-lenovo-ideapad-slim-5-16iru9-intel-core-7-150u-pantalla-wuxga-16-0-8gb-de-ram-512gb-ssd-win11home-cloud-gris-83fw000xus-ingles/1/54428?pfdrid_c=true","Notebook Lenovo IdeaPad Slim 5 16IRU9 Intel Core 7 150U Pantalla WUXGA 16.0"" / 8GB de RAM / 512GB SSD / Win11Home - Cloud Gris (83FW000XUS) (Inglés)","U$ 645,00","Cód.: 54428","R$ 3.605,55","G$ 4.708.500"
"https://www.visaovip.com/produto/notebook/notebook-lenovo-ideapad-1-15iru7-intel-core-i5-1335u-pantalla-touch-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-abyss-azul-83fw000xus-ingles/54422","https://www.visaovip.com/imagem/notebook/notebook-lenovo-ideapad-1-15iru7-intel-core-i5-1335u-pantalla-touch-full-hd-15-6-8gb-de-ram-256gb-ssd-win11home-abyss-azul-83fw000xus-ingles/1/54422?pfdrid_c=true","Notebook Lenovo IdeaPad 1 15IRU7 Intel Core i5 1335U Pantalla Touch Full HD 15.6"" / 8GB de RAM / 256GB SSD / Win11Home - Abyss Azul (83FW000XUS) (Inglés)","U$ 410,00","Cód.: 54422","R$ 2.291,90","G$ 2.993.000"
"https://www.visaovip.com/produto/notebook/notebook-gamer-lenovo-legion-5-15irx10-intel-core-i7-14700hx-pantalla-wqxga-15-1-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-eclipse-negro-83ly0000us-ingles/54421","https://www.visaovip.com/imagem/notebook/notebook-gamer-lenovo-legion-5-15irx10-intel-core-i7-14700hx-pantalla-wqxga-15-1-16gb-de-ram-1tb-ssd-win11home-geforce-rtx5060-8gb-eclipse-negro-83ly0000us-ingles/1/54421?pfdrid_c=true","Notebook Gamer Lenovo Legion 5 15IRX10 Intel Core i7 14700HX Pantalla WQXGA 15.1"" / 16GB de RAM / 1TB SSD / Win11Home / GeForce RTX5060 8GB - Eclipse Negro (83LY0000US) (Inglés)","U$ 1.399,00","Cód.: 54421","R$ 7.820,41","G$ 10.212.700"
"https://www.visaovip.com/produto/notebook/notebook-msi-prestige-16-ai-evo-b1mg-013us-intel-core-ultra-9-185h-pantalla-qhd--16-16gb-de-ram-1tb-ssd-win11home-stellar-gris-ingles/54415","https://www.visaovip.com/imagem/notebook/notebook-msi-prestige-16-ai-evo-b1mg-013us-intel-core-ultra-9-185h-pantalla-qhd--16-16gb-de-ram-1tb-ssd-win11home-stellar-gris-ingles/1/54415?pfdrid_c=true","Notebook MSI Prestige 16 AI Evo B1MG-013US Intel Core Ultra 9 185H Pantalla QHD+ 16"" / 16GB de RAM / 1TB SSD / Win11Home - Stellar Gris (Inglés)","U$ 1.190,00","Cód.: 54415","R$ 6.652,10","G$ 8.687.000"
"https://www.visaovip.com/produto/notebook/notebook-hp-elitebook-660-g11-intel-core-ultra-7-165u-pantalla-wuxga-16-16gb-de-ram-512gb-ssd-win11home-plata-ingles/54382","https://www.visaovip.com/imagem/notebook/notebook-hp-elitebook-660-g11-intel-core-ultra-7-165u-pantalla-wuxga-16-16gb-de-ram-512gb-ssd-win11home-plata-ingles/1/54382?pfdrid_c=true","Notebook HP EliteBook 660 G11 Intel Core Ultra 7 165U Pantalla WUXGA 16"" / 16GB de RAM / 512GB SSD / Win11Home - Plata (Inglés)","","Cód.: 54382","R$ 4.695,60","G$ 6.132.000"
