"no-underline href","mb-2 src","p-0","p-0 3","m-0","m-0 2"
"https://www.visaovip.com/es/prod/monitores/monitor-msi-pro-mp243l-e14-23-8-full-hd-ips-144hz-negro/53933/","https://cdn.visaovip.com/img/prod/monitor-msi-pro-mp243l-e14-238-full-hd-ips-144hz-negro/53933/717269.jpg","Monitor MSI Pro MP243L E14 23.8"" Full HD IPS 144Hz - Negro","MSI","U$ 95,00","53933"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-msi-mag-346cq-34-uwqhd-curvo-va-180hz-1ms-negro/51871/","https://cdn.visaovip.com/img/prod/monitor-gamer-msi-mag-346cq-34-uwqhd-curvo-va-180hz-1ms-negro/51871/708031.jpg","Monitor Gamer MSI Mag 346CQ 34"" UWQHD Curvo VA 180Hz / 1Ms - Negro","MSI","U$ 342,00","51871"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-hye-hy27view240-27-full-hd-led-240hz-1ms-negro/47584/","https://cdn.visaovip.com/img/prod/monitor-gamer-hye-hy27view240-27-full-hd-led-240hz-1ms-negro/47584/672333.jpg","Monitor Gamer HYE HY27VIEW240 27"" Full HD LED 240Hz / 1Ms - Negro","HYE","U$ 127,00","47584"
"https://www.visaovip.com/es/prod/monitores/monitor-hye-hye22gfm-22-full-hd-75hz-3ms-negro/43661/","https://cdn.visaovip.com/img/prod/monitor-hye-hye22gfm-22-full-hd-75hz-3ms-negro/43661/615661.jpg","Monitor HYE HYE22GFM 22"" Full HD 75Hz / 3Ms - Negro","HYE","U$ 59,00","43661"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-hye-hy27view165-27-full-hd-curvo-165hz-negro/43605/","https://cdn.visaovip.com/img/prod/monitor-gamer-hye-hy27view165-27-full-hd-curvo-165hz-negro/43605/615041.jpg","Monitor Gamer HYE HY27VIEW165 27"" Full HD Curvo 165Hz - Negro","HYE","U$ 114,00","43605"
"https://www.visaovip.com/es/prod/monitores/pantalla-inteligente-amazon-echo-show-21-21-5-full-hd-alexa-bluetooth-wi-fi-negro-blanco/56528/","https://cdn.visaovip.com/img/prod/pantalla-inteligente-amazon-echo-show-21-215-full-hd-alexa-bluetooth-wi-fi-negro-blanco/56528/728121.jpg","Pantalla Inteligente Amazon Echo Show 21 / 21.5"" Full HD / Alexa / Bluetooth / Wi-Fi - Negro / Blanco","AMAZON","U$ 429,00","56528"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-asus-tuf-gaming-vg249qe5a-23-8-full-hd-ips-146hz-1ms-negro/56949/","https://www.visaovip.com/sem-imagem.png","Monitor Gamer ASUS TUF Gaming VG249QE5A  23.8"" Full HD IPS 146Hz / 1Ms - Negro","ASUS","U$ 120,00","56949"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-asus-va249hg-23-8-full-hd-ips-120hz-1ms-negro/56948/","https://www.visaovip.com/sem-imagem.png","Monitor Gamer ASUS VA249HG 23.8"" Full HD IPS 120Hz / 1Ms - Negro","ASUS","U$ 105,00","56948"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-gigabyte-gs27fc-27-full-hd-lcd-curvo-va-180hz-1ms-negro/56722/","https://www.visaovip.com/sem-imagem.png","Monitor Gamer Gigabyte GS27FC 27"" Full HD LCD Curvo VA 180Hz / 1Ms - Negro","GIGABYTE","U$ 159,00","56722"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-gigabyte-gs25f14-24-5-full-hd-ips-144hz-1ms-negro/56720/","https://cdn.visaovip.com/img/prod/monitor-gamer-gigabyte-gs25f14-245-full-hd-ips-144hz-1ms-negro/56720/728450.jpg","Monitor Gamer Gigabyte GS25F14 24.5""  Full HD IPS 144Hz / 1Ms - Negro","GIGABYTE","U$ 97,00","56720"
"https://www.visaovip.com/es/prod/monitores/monitor-jvc-lt-mk24220-24-full-hd-ips-144hz-negro/56694/","https://www.visaovip.com/sem-imagem.png","Monitor JVC LT-MK24220 24"" Full HD IPS 144Hz - Negro","JVC","U$ 88,00","56694"
"https://www.visaovip.com/es/prod/monitores/monitor-teros-te-2417s-23-8-full-hd-ips-144hz-1ms-negro/55832/","https://cdn.visaovip.com/img/prod/monitor-teros-te-2417s-238-full-hd-ips-144hz-1ms-negro/55832/725605.jpg","Monitor Teros TE-2417S 23.8"" Full HD IPS 144Hz / 1Ms - Negro","TEROS","U$ 95,00","55832"
"https://www.visaovip.com/es/prod/monitores/monitor-teros-te-2714s-27-full-hd-ips-144hz-1ms-negro/55831/","https://cdn.visaovip.com/img/prod/monitor-teros-te-2714s-27-full-hd-ips-144hz-1ms-negro/55831/725602.jpg","Monitor Teros TE-2714S 27"" Full HD IPS 144Hz / 1Ms - Negro","TEROS","U$ 135,00","55831"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-msi-mag-244f-3bca-23-8-full-hd-rapid-ips-200hz-0-5ms-negro-mouse/55646/","https://cdn.visaovip.com/img/prod/monitor-gamer-msi-mag-244f-3bca-238-full-hd-rapid-ips-200hz-05ms-negro-mouse/55646/724693.jpg","Monitor Gamer MSI Mag 244F 3BCA 23.8"" Full HD Rapid IPS 200Hz / 0.5Ms - Negro + Mouse","MSI","U$ 135,00","55646"
"https://www.visaovip.com/es/prod/monitores/monitor-msi-pro-mp341cqw-34-uwqhd-curvo-100hz-1ms-blanco/55461/","https://cdn.visaovip.com/img/prod/monitor-msi-pro-mp341cqw-34-uwqhd-curvo-100hz-1ms-blanco/55461/723916.jpg","Monitor MSI Pro MP341CQW 34"" UWQHD Curvo 100Hz / 1Ms - Blanco","MSI","U$ 255,00","55461"
"https://www.visaovip.com/es/prod/monitores/pantalla-inteligente-amazon-echo-show-15-2-generacion-15-6-full-hd-alexa-bluetooth-wi-fi-negro-blanco/55452/","https://cdn.visaovip.com/img/prod/pantalla-inteligente-amazon-echo-show-15-2-generacion-156-full-hd-alexa-bluetooth-wi-fi-negro-blanco/55452/723922.jpg","Pantalla Inteligente Amazon Echo Show 15 2ª Generación 15.6"" Full HD / Alexa / Bluetooth / Wi-Fi - Negro / Blanco","AMAZON","U$ 335,00","55452"
"https://www.visaovip.com/es/prod/monitores/monitor-samsung-ls24f320ga-24-full-hd-ips-120hz-5ms-negro/55183/","https://cdn.visaovip.com/img/prod/monitor-samsung-ls24f320ga-24-full-hd-ips-120hz-5ms-negro/55183/722625.jpg","Monitor Samsung LS24F320GA 24"" Full HD IPS 120Hz / 5Ms - Negro","SAMSUNG","U$ 102,00","55183"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-xiaomi-mi-g27i-p27fda-rggl-27-full-hd-lcd-200hz-1ms-negro/44280/","https://cdn.visaovip.com/img/prod/monitor-gamer-xiaomi-mi-g27i-p27fda-rggl-27-full-hd-lcd-200hz-1ms-negro/44280/623969.jpg","Monitor Gamer Xiaomi Mi G27i P27FDA-RGGL 27"" Full HD LCD 200Hz / 1Ms - Negro","XIAOMI","U$ 108,00","44280"
"https://www.visaovip.com/es/prod/monitores/monitor-gamer-samsung-essential-s3-ls24d366ga-23-5-full-hd-curvo-ips-100hz-4ms-negro/54521/","https://cdn.visaovip.com/img/prod/monitor-gamer-samsung-essential-s3-ls24d366ga-235-full-hd-curvo-ips-100hz-4ms-negro/54521/719819.jpg","Monitor Gamer Samsung Essential S3 LS24D366GA 23.5"" Full HD Curvo IPS 100Hz / 4Ms - Negro","SAMSUNG","U$ 96,00","54521"
