"no-underline href","mb-2 src","p-0","p-0 2","p-0 3","m-0","m-0 2"
"https://www.visaovip.com/prod/hd-interno/hd-western-digital-14tb-wd-red-pro-nas-3-5-sata-3-7200rpm-wd142kfgx/55306/","https://cdn.visaovip.com/img/prod/hd-western-digital-14tb-wd-red-pro-nas-35-sata-3-7200rpm-wd142kfgx/55306/723125.jpg","HD Western Digital 14TB WD Red Pro Nas 3.5"" SATA 3 7200RPM - WD142KFGX","HD Interno","WESTERN DIGITAL","U$ 338,00","55306"
"https://www.visaovip.com/prod/hd-interno/hd-sata3-24tb-western-digital-wd-gold-7200rpm-512mb-wd241kryz-garantia-br/57008/","https://cdn.visaovip.com/img/prod/hd-sata3-24tb-western-digital-wd-gold-7200rpm-512mb-wd241kryz-garantia-br/57008/728566.jpg","HD SATA3 24TB WESTERN DIGITAL WD GOLD 7200RPM 512MB WD241KRYZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 675,00","57008"
"https://www.visaovip.com/prod/hd-interno/hd-sata3-6tb-western-digital-wd-gold-7200rpm-256mb-wd6004fryz-garantia-br/57007/","https://cdn.visaovip.com/img/prod/hd-sata3-6tb-western-digital-wd-gold-7200rpm-256mb-wd6004fryz-garantia-br/57007/728562.jpg","HD SATA3  6TB WESTERN DIGITAL WD GOLD 7200RPM 256MB WD6004FRYZ (GARANTIA BR)","HD Interno","WESTERN DIGITAL","U$ 250,00","57007"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-16tb-barracuda-3-5-sata-3-7200rpm-st16000dm001-garantia-br/51774/","https://cdn.visaovip.com/img/prod/hd-seagate-16tb-barracuda-35-sata-3-7200rpm-st16000dm001-garantia-br/51774/717913.jpg","HD Seagate 16TB Barracuda 3.5"" SATA 3 7200RPM - ST16000DM001 (GARANTIA BR)","HD Interno","SEAGATE","U$ 299,00","51774"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-30tb-exos-m-enterprise-3-5-sata-3-7200rpm-st30000nm004k-garantia-br/54884/","https://cdn.visaovip.com/img/prod/hd-seagate-30tb-exos-m-enterprise-35-sata-3-7200rpm-st30000nm004k-garantia-br/54884/721432.jpg","HD Seagate 30TB Exos M Enterprise 3.5"" SATA 3 7200RPM - ST30000NM004K (GARANTIA BR)","HD Interno","SEAGATE","U$ 780,00","54884"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-8tb-barracuda-3-5-sata-3-5400rpm-st8000dm004-garantia-br/47436/","https://cdn.visaovip.com/img/prod/hd-seagate-8tb-barracuda-35-sata-3-5400rpm-st8000dm004-garantia-br/47436/673733.jpg","HD Seagate 8TB BarraCuda 3.5"" SATA 3 5400RPM - ST8000DM004 (GARANTIA BR)","HD Interno","SEAGATE","U$ 205,00","47436"
"https://www.visaovip.com/prod/hd-externo/hd-externo-western-digital-20tb-wd-elements-3-5-wdbwlg0200hbk-preto/47336/","https://cdn.visaovip.com/img/prod/hd-externo-western-digital-20tb-wd-elements-35-wdbwlg0200hbk-preto/47336/668645.jpg","HD Externo Western Digital 20TB WD Elements 3.5"" WDBWLG0200HBK - Preto","HD Externo","WESTERN DIGITAL","U$ 395,00","47336"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-20tb-exos-x24-enterprise-3-5-sata-3-7200rpm-st20000nm002h-garantia-br/53642/","https://cdn.visaovip.com/img/prod/hd-seagate-20tb-exos-x24-enterprise-35-sata-3-7200rpm-st20000nm002h-garantia-br/53642/716249.jpg","HD Seagate 20TB Exos X24 Enterprise 3.5"" SATA 3 7200RPM - ST20000NM002H (GARANTIA BR)","HD Interno","SEAGATE","U$ 549,00","53642"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-12tb-iron-wolf-3-5-sata-3-7200rpm-st12000vn0008-garantia-br/47791/","https://cdn.visaovip.com/img/prod/hd-seagate-12tb-iron-wolf-35-sata-3-7200rpm-st12000vn0008-garantia-br/47791/675677.jpg","HD Seagate 12TB Iron Wolf 3.5"" SATA 3 7200RPM - ST12000VN0008 (GARANTIA BR)","HD Interno","SEAGATE","U$ 295,00","47791"
"https://www.visaovip.com/prod/hd-interno/hd-seagate-28tb-iron-wolf-pro-3-5-sata-3-7200rpm-st28000nt000-garantia-br/55990/","https://cdn.visaovip.com/img/prod/hd-seagate-28tb-iron-wolf-pro-35-sata-3-7200rpm-st28000nt000-garantia-br/55990/726289.jpg","HD Seagate 28TB Iron Wolf Pro 3.5"" SATA 3 7200RPM - ST28000NT000 (GARANTIA BR)","HD Interno","SEAGATE","U$ 670,00","55990"
